date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:10	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Dec%202022%2010:16:08%20GMT	https://demo.yolotheme.com/robots.txt		(from )
11:16:13	189853/189853	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202022%2010:16:09%20GMT	https://demo.yolotheme.com/giraffe/	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/index.php	(from )
11:16:14	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2015%20Dec%202022%2010:16:12%20GMT	https://demo.yolotheme.com/giraffe/xmlrpc.php	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/xmlrpc.php	(from https://demo.yolotheme.com/giraffe/)
11:16:15	20761/20761	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225ff29410-5119%22	https://demo.yolotheme.com/giraffe/wp-content/themes/yolo-giraffe/assets/images/favicon.ico	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/themes/yolo-giraffe/assets/images/favicon.ico	(from https://demo.yolotheme.com/giraffe/)
11:16:16	38184/38184	---MC-	200	added ('OK')	application/rss+xml	etag:%22983fd6fc05ffaa235cc29ea1e591d63e%22	https://demo.yolotheme.com/giraffe/feed/	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/feed/index.php	(from https://demo.yolotheme.com/giraffe/)
11:16:16	62683/62683	---MCZ	200	added ('OK')	text/css	etag:W/%226034077f-f4db%22	https://demo.yolotheme.com/giraffe/wp-includes/css/dist/block-library/style.css?ver=5.6.10	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-includes/css/dist/block-library/styledac3.css	(from https://demo.yolotheme.com/giraffe/)
11:16:16	2967/2967	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29436-b97%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=1609733174	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style11d5.css	(from https://demo.yolotheme.com/giraffe/)
11:16:16	168313/168313	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29436-29179%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=1609733174	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style11d5.css	(from https://demo.yolotheme.com/giraffe/)
11:16:17	1920/1920	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29432-780%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://demo.yolotheme.com/giraffe/)
11:16:17	13273/13273	---MC-	200	added ('OK')	application/rss+xml	etag:%2221ac30ff3442d6d8576ffd085679a7b6%22	https://demo.yolotheme.com/giraffe/comments/feed/	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/comments/feed/index.php	(from https://demo.yolotheme.com/giraffe/)
11:16:17	60053/60053	---MCZ	200	added ('OK')	text/css	etag:W/%225fc5c6f4-ea95%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.23	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/revslider/public/assets/css/rs63f21.css	(from https://demo.yolotheme.com/giraffe/)
11:16:18	17639/17639	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29436-44e7%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.8.0	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce-layout287d.css	(from https://demo.yolotheme.com/giraffe/)
11:16:18	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29436-1a66%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.8.0	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen287d.css	(from https://demo.yolotheme.com/giraffe/)
11:16:18	62511/62511	---MCZ	200	added ('OK')	text/css	etag:W/%225ff29436-f42f%22	https://demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.8.0	C:/Users/USER/Desktop/New%20folder%20(2)/Skudroid/demo.yolotheme.com/giraffe/wp-content/plugins/woocommerce/assets/css/woocommerce287d.css	(from https://demo.yolotheme.com/giraffe/)
